"Station","Date.UTC.","Amount.mm.","Period.Hrs.","Freq","UTC_date"
"Auckland, North Shore Albany Ews","20100904:0600",0,1,"H",2010-09-04 06:00:00
"Auckland, North Shore Albany Ews","20100905:0600",0,1,"H",2010-09-05 06:00:00
"Auckland, North Shore Albany Ews","20100906:0600",0.1,1,"H",2010-09-06 06:00:00
"Auckland, North Shore Albany Ews","20100907:0600",0,1,"H",2010-09-07 06:00:00
"Auckland, North Shore Albany Ews","20100908:0600",0,1,"H",2010-09-08 06:00:00
"Auckland, North Shore Albany Ews","20100909:0600",0,1,"H",2010-09-09 06:00:00
"Auckland, North Shore Albany Ews","20100910:0600",0,1,"H",2010-09-10 06:00:00
"Auckland, North Shore Albany Ews","20100911:0600",0.7,1,"H",2010-09-11 06:00:00
"Auckland, North Shore Albany Ews","20100912:0600",0,1,"H",2010-09-12 06:00:00
"Auckland, North Shore Albany Ews","20100913:0600",0,1,"H",2010-09-13 06:00:00
"Auckland, North Shore Albany Ews","20100914:0600",0,1,"H",2010-09-14 06:00:00
"Auckland, North Shore Albany Ews","20100915:0600",0,1,"H",2010-09-15 06:00:00
"Auckland, North Shore Albany Ews","20100916:0600",0.1,1,"H",2010-09-16 06:00:00
"Auckland, North Shore Albany Ews","20100917:0600",2.9,1,"H",2010-09-17 06:00:00
"Auckland, North Shore Albany Ews","20100918:0600",0,1,"H",2010-09-18 06:00:00
"Auckland, North Shore Albany Ews","20100919:0600",0,1,"H",2010-09-19 06:00:00
"Auckland, North Shore Albany Ews","20100920:0600",0,1,"H",2010-09-20 06:00:00
"Auckland, North Shore Albany Ews","20100921:0600",0.5,1,"H",2010-09-21 06:00:00
"Auckland, North Shore Albany Ews","20100922:0600",0.1,1,"H",2010-09-22 06:00:00
"Auckland, North Shore Albany Ews","20100923:0600",0.1,1,"H",2010-09-23 06:00:00
"Auckland, North Shore Albany Ews","20100924:0600",0,1,"H",2010-09-24 06:00:00
"Auckland, North Shore Albany Ews","20100925:0600",0,1,"H",2010-09-25 06:00:00
"Auckland, North Shore Albany Ews","20100926:0600",0,1,"H",2010-09-26 06:00:00
"Auckland, North Shore Albany Ews","20100927:0600",0,1,"H",2010-09-27 06:00:00
"Auckland, North Shore Albany Ews","20100928:0600",0,1,"H",2010-09-28 06:00:00
"Auckland, North Shore Albany Ews","20100929:0600",0,1,"H",2010-09-29 06:00:00
